id,duration,title,channel,id,viewing,user-id,start,duration,start,duration
,,,,,,365,0,1694,108,2
,,,,,,372,0,1694,57,3
,,,,,,,,,75,4
,,,,,,,,,81,30
,,,,,,,,,1014,13
,,,,,,373,0,1694,26,1
,,,,,,,,,30,2
,,,,,,,,,34,2
,,,,,,,,,42,2
,,,,,,,,,49,2
,,,,,,,,,57,1
,,,,,,,,,61,4
,,,,,,,,,75,1
,,,,,,,,,79,4
,,,,,,,,,85,1
,,,,,,,,,89,3
,,,,,,,,,95,2
,,,,,,,,,100,1
,,,,,,,,,105,2
,,,,,,,,,110,3
,,,,,,,,,115,1
,,,,,,402,0,1694,13,1
,,,,,,,,,25,1
,,,,,,,,,40,2
,,,,,,,,,53,2
,,,,,,,,,58,3
,,,,,,,,,990,2
,,,,,,,,,996,4
,,,,,,,,,1003,5
,,,,,,,,,1010,3
,,,,,,,,,1014,3
,,,,,,424,0,1694,84,15
,,,,,,,,,100,2
,,,,,,,,,117,2
,,,,,,432,0,1694,88,32
,,,,,,436,0,1694,92,1
,,,,,,,,,96,2
,,,,,,,,,102,1
,,,,,,443,0,1694,127,1
,,,,,,,,,164,2
,,,,,,452,0,1694,91,12
,,,,,,456,0,1694,0,103
,,,,,,,,,107,43
,,,,,,,,,152,27
,,,,,,,,,200,87
,,,,,,,,,288,24
,,,,,,462,0,1694,25,3
,,,,,,,,,29,3
,,,,,,,,,35,2
,,,,,,,,,56,5
,,,,,,,,,63,2
,,,,,,,,,76,3
,,,,,,,,,81,2
,,,,,,,,,89,2
,,,,,,,,,96,3
,,,,,,,,,101,2
,,,,,,,,,107,1
,,,,,,,,,139,1
,,,,,,,,,149,1
,,,,,,,,,181,1
,,,,,,,,,214,3
,,,,,,,,,222,2
,,,,,,,,,238,10
,,,,,,,,,249,1
,,,,,,,,,395,1
,,,,,,,,,398,2
,,,,,,,,,401,3
,,,,,,,,,418,2
,,,,,,,,,425,1
,,,,,,,,,433,1
,,,,,,,,,436,1
,,,,,,,,,448,2
,,,,,,,,,451,4
,,,,,,,,,508,1
